grid_id,iso639,label
grid.5037.1,fi,Kuninkaallinen teknillinen korkeakoulu
grid.5098.4,tr,Ulusal ve Uluslararası Ekonomi Üniversitesi
grid.5098.4,bg,Университет за национално и световно стопанство
grid.5100.4,ro,Universitatea din București
grid.5100.4,hu,Bukaresti Egyetem
grid.5110.5,sl,Univerza v Gradcu
grid.5110.5,hr,Sveučilište u Grazu
grid.5110.5,de,Karl-Franzens-Universität Graz
grid.5115.0,cy,Prifysgol Anglia Ruskin
grid.5117.2,da,Aalborg Universitet
grid.5120.6,ro,Universitatea Transilvania din Brașov
grid.5132.5,nl,Universiteit Leiden
grid.5133.4,sl,Univerza v Trstu
grid.5133.4,fr,Université de trieste
grid.5133.4,de,Universität Triest
grid.5133.4,it,Università degli Studi di Trieste
grid.5146.6,hu,Közép-európai Egyetem
grid.5155.4,de,Universität Kassel
grid.5164.6,de,Technische Universität Clausthal
grid.5170.3,de,Dänemarks Technische Universität
grid.5170.3,da,Danmarks Tekniske Universitet
grid.5173.0,de,Universität für Bodenkultur Wien
grid.5196.b,en,"Italian National Agency for New Technologies, Energy and Sustainable Economic Development"
grid.5196.b,it,"Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile"
grid.5216.0,fr,Université nationale et capodistrienne d'athènes
grid.5216.0,el,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών
grid.5239.d,gl,Universidade de Valladolid
grid.5239.d,eu,Valladolideko Unibertsitatea
grid.5239.d,es,Universidad de Valladolid
grid.5252.0,de,Ludwig-Maximilians-Universität München
grid.5253.1,de,Universitätsklinikum Heidelberg
grid.5254.6,de,Universität Kopenhagen
grid.5254.6,da,Københavns Universitet
grid.5259.b,pl,Uniwersytet Michała Römera
grid.5259.b,lt,Mykolo Romerio universitetas
grid.5268.9,ca,Universitat d'Alacant
grid.5268.9,es,Universidad de Alicante
grid.5284.b,fr,Université d'anvers
grid.5284.b,de,Universität Antwerpen
grid.5284.b,nl,Universiteit Antwerpen
grid.5290.e,ja,早稲田大学
grid.5292.c,nl,Technische Universiteit Delft
grid.5319.e,gl,Universidade de Xirona
grid.5319.e,es,Universidad de Gerona
grid.5319.e,ca,Universitat de Girona
grid.5326.2,fr,Conseil national de la recherche
grid.5326.2,it,Consiglio Nazionale Delle Ricerche
grid.5328.c,fr,Institut national de recherche en informatique et en automatique
grid.5329.d,de,Technische Universität Wien
grid.5330.5,de,Friedrich-Alexander-Universität Erlangen-Nürnberg
grid.5333.6,en,Swiss Federal Institute of Technology in Lausanne
grid.5334.1,tr,Sabancı Üniversitesi
grid.5335.0,cy,Prifysgol Caergrawnt
grid.5337.2,cy,Prifysgol Bryste
grid.5338.d,gl,Universidade de Valencia
grid.5338.d,es,Universidad de Valencia
grid.5338.d,ca,Universitat de València
grid.5342.0,fr,Université de gand
grid.5342.0,nl,Universiteit Gent
grid.5361.1,de,Medizinische Universität Innsbruck
grid.5371.0,sv,Chalmers tekniska högskola
grid.5371.0,fi,Chalmersin teknillinen korkeakoulu
grid.5373.2,fi,Aalto-yliopisto
grid.5374.5,pl,Uniwersytet Mikołaja Kopernika w Toruniu
grid.5379.8,cy,Prifysgol Manceinion
grid.5380.e,es,Universidad de Concepción
grid.5386.8,es,Universidad Cornell
grid.5386.8,en,Cornell University
grid.5388.6,fr,Université de Savoie Mont Blanc
grid.5390.f,sl,Univerza v Vidmu
grid.5390.f,de,Universität Udine
grid.5390.f,it,Università degli Studi di Udine
grid.5395.a,fr,Université de pise
grid.5395.a,de,Universität Pisa
grid.5395.a,it,Università di Pisa
grid.5399.6,fr,Aix-Marseille Université
grid.5475.3,cy,Prifysgol Surrey
grid.5477.1,nl,Universiteit Utrecht
grid.5491.9,cy,Prifysgol Southampton
grid.5507.7,bg,Нов български университет
grid.5509.9,sv,Tammerfors universitet
grid.5509.9,fi,Tampereen yliopisto
grid.5510.1,fi,Oslon yliopisto
grid.5515.4,gl,Universidade Autónoma de Madrid
grid.5515.4,eu,Madrilgo Unibertsitate Autonomoa
grid.5515.4,ca,Universitat Autònoma de Madrid
grid.5515.4,es,Universidad Autónoma de Madrid
grid.5522.0,pl,Uniwersytet Jagielloński
grid.5560.6,de,Carl von Ossietzky Universität Oldenburg
grid.5570.7,de,Ruhr-Universität Bochum
grid.5571.6,eu,Paueko eta Aturrialdeko Unibertsitatea
grid.5571.6,fr,L'Université de Pau et des Pays de l'Adour
grid.5583.b,fr,Commissariat à l'énergie Atomique et aux énergies Alternatives
grid.5586.e,de,Bundesministerium für Bildung und Forschung
grid.5590.9,fr,Université Radboud de Nimègue
grid.5590.9,nl,Radboud Universiteit Nijmegen
grid.5591.8,hu,Eötvös Loránd Tudományegyetem
grid.5596.f,nl,Katholieke Universiteit Leuven
grid.5600.3,cy,Prifysgol Caerdydd
grid.5601.2,de,Universität Mannheim
grid.5602.1,fr,Université de camerino
grid.5602.1,de,Universität Camerino
grid.5602.1,it,Università degli Studi di Camerino
grid.5603.0,de,Ernst-Moritz-Arndt-Universität Greifswald
grid.5606.5,fr,Université de gênes
grid.5606.5,de,Universität Genua
grid.5606.5,ca,Universitat de Gènova
grid.5606.5,it,Università degli Studi di Genova
grid.5608.b,sl,Univerza v Padovi
grid.5608.b,fr,Université de padoue
grid.5608.b,de,Universität Padua
grid.5608.b,ca,Universitat de Pàdua
grid.5608.b,en,University of Padua
grid.5608.b,it,Università degli Studi di Padova
grid.5611.3,fr,Université de vérone
grid.5611.3,de,Universität Verona
grid.5611.3,it,Università degli Studi di Verona
grid.5612.0,ca,Universitat Pompeu Fabra
grid.5613.1,fr,Université de Bourgogne
grid.5633.3,pl,Uniwersytet im. Adama Mickiewicza w Poznaniu
grid.5637.7,en,Institute for Information Technology
grid.5640.7,sv,Linköpings universitet
grid.5640.7,fi,Linköpingin yliopisto
grid.5650.6,nl,Academisch Medisch Centrum
grid.5659.f,de,Universität Paderborn
grid.5675.1,de,Technische Universität Dortmund
grid.5676.2,fr,Institut polytechnique de Grenoble
grid.5681.a,de,Fachhochschule Westschweiz
grid.5681.a,fr,HES-SO Haute école spécialisée de Suisse occidentale
grid.5685.e,cy,Prifysgol Efrog
grid.5690.a,gl,Universidade Politécnica de Madrid
grid.5690.a,ca,Universitat Politècnica de Madrid
grid.5690.a,es,Universidad Politécnica de Madrid
grid.5718.b,de,Universität Duisburg-Essen
grid.5719.a,de,Universität Stuttgart
grid.5734.5,it,Università di Berna
grid.5734.5,fr,Université de Berne
grid.5734.5,de,Universität Bern
grid.5771.4,sl,Univerza v Innsbrucku
grid.5771.4,hr,Sveučilište u Innsbrucku
grid.5771.4,de,Leopold-Franzens-Universität Innsbruck
grid.5801.c,it,Politecnico federale di Zurigo
grid.5801.c,fr,École polytechnique fédérale de zurich
grid.5801.c,de,Eidgenössische Technische Hochschule Zürich
grid.5802.f,de,Johannes Gutenberg-Universität Mainz
grid.5807.a,de,Otto-von-Guericke-Universität Magdeburg
grid.5808.5,pt,Universidade do Porto
grid.5836.8,de,Universität Siegen
grid.5841.8,eu,Bartzelonako Unibertsitatea
grid.5841.8,ca,Universitat de Barcelona
grid.5841.8,es,Universidad de Barcelona
grid.5842.b,fr,Université paris-sud
grid.5842.b,ca,Universitat de París Sud
grid.5853.b,ca,Institut de Ciències Fotòniques
grid.5853.b,es,Instituto de Ciencias Fotónicas
grid.5892.6,de,Universität Koblenz-Landau
grid.5911.c,sv,Volvokoncernen
grid.5924.a,eu,Nafarroako Unibertsitatea
grid.5924.a,es,Universidad de Navarra
grid.5947.f,no,Norges Teknisk-Naturvitenskapelige Universitet
grid.5947.f,fi,Norjan teknis-luonnontieteellinen yliopisto
grid.5949.1,de,Westfälische Wilhelms-Universität Münster
grid.5963.9,de,Albert-Ludwigs-Universität Freiburg
grid.5970.b,fr,École internationale supérieure d'études avancées
grid.5970.b,it,Scuola Internazionale Superiore di Studi Avanzati
grid.5991.4,fr,Institut paul scherrer
grid.6045.7,it,Istituto Nazionale di Fisica Nucleare
grid.6054.7,en,National Research Institute for Mathematics and Computer Science
grid.6057.4,sv,Sveriges meteorologiska och hydrologiska institut
