grid_id,relationship_type,related_grid_id
grid.1001.0,Related,grid.460694.9
grid.1001.0,Related,grid.413314.0
grid.1001.0,Related,grid.460721.6
grid.1002.3,Related,grid.1623.6
grid.1002.3,Related,grid.414580.c
grid.1002.3,Related,grid.1056.2
grid.1002.3,Related,grid.415031.2
grid.1002.3,Related,grid.460735.3
grid.1002.3,Related,grid.416057.1
grid.1002.3,Related,grid.416060.5
grid.1002.3,Related,grid.470947.9
grid.1002.3,Child,grid.484852.7
grid.1002.3,Child,grid.464914.a
grid.1003.2,Related,grid.460731.7
grid.1003.2,Related,grid.240416.5
grid.1003.2,Related,grid.412744.0
grid.1003.2,Related,grid.416100.2
grid.1004.5,Related,grid.416790.d
grid.1005.4,Related,grid.414201.2
grid.1005.4,Related,grid.418393.4
grid.1005.4,Related,grid.413950.a
grid.1005.4,Related,grid.432149.9
grid.1005.4,Related,grid.429098.e
grid.1005.4,Related,grid.460744.5
grid.1005.4,Related,grid.250407.4
grid.1005.4,Related,grid.415193.b
grid.1005.4,Related,grid.416139.8
grid.1005.4,Related,grid.460804.e
grid.1005.4,Related,grid.460806.c
grid.1005.4,Related,grid.416398.1
grid.1005.4,Related,grid.460648.8
grid.1005.4,Related,grid.414009.8
grid.1005.4,Related,grid.416790.d
grid.1005.4,Related,grid.1057.3
grid.1005.4,Related,grid.460669.b
grid.1006.7,Related,grid.415050.5
grid.1006.7,Related,grid.454379.8
grid.1006.7,Related,grid.156122.3
grid.1006.7,Related,grid.472342.4
grid.1006.7,Related,grid.473733.7
grid.1006.7,Related,grid.415506.3
grid.1006.7,Related,grid.419334.8
grid.1006.7,Related,grid.414158.d
grid.1006.7,Related,grid.450004.5
grid.1007.6,Related,grid.460804.e
grid.1007.6,Related,grid.460806.c
grid.1007.6,Related,grid.417154.2
grid.1007.6,Child,grid.444532.0
grid.1008.9,Related,grid.410678.c
grid.1008.9,Related,grid.414094.c
grid.1008.9,Related,grid.431365.6
grid.1008.9,Related,grid.1056.2
grid.1008.9,Related,grid.418002.f
grid.1008.9,Related,grid.414539.e
grid.1008.9,Related,grid.415335.5
grid.1008.9,Related,grid.429299.d
grid.1008.9,Related,grid.415325.4
grid.1008.9,Related,grid.416536.3
grid.1008.9,Related,grid.416107.5
grid.1008.9,Related,grid.416259.d
grid.1008.9,Related,grid.413105.2
grid.1008.9,Related,grid.1073.5
grid.1008.9,Related,grid.410670.4
grid.1008.9,Child,grid.483778.7
grid.1009.8,Related,grid.454236.2
grid.1009.8,Related,grid.415834.f
grid.1009.8,Related,grid.416131.0
grid.1010.0,Related,grid.410664.1
grid.1010.0,Related,grid.460761.2
grid.1010.0,Related,grid.416037.7
grid.1010.0,Related,grid.416075.1
grid.1010.0,Related,grid.1694.a
grid.1011.1,Related,grid.456586.c
grid.1012.2,Related,grid.415051.4
grid.1012.2,Related,grid.1489.4
grid.1012.2,Related,grid.416195.e
grid.1012.2,Related,grid.3521.5
grid.1012.2,Related,grid.454082.f
grid.1013.3,Related,grid.414201.2
grid.1013.3,Related,grid.460687.b
grid.1013.3,Related,grid.460711.5
grid.1013.3,Related,grid.248902.5
grid.1013.3,Related,grid.413973.b
grid.1013.3,Related,grid.414235.5
grid.1013.3,Related,grid.414685.a
grid.1013.3,Related,grid.415508.d
grid.1013.3,Related,grid.460725.2
grid.1013.3,Related,grid.415326.7
grid.1013.3,Related,grid.460783.e
grid.1013.3,Related,grid.413243.3
grid.1013.3,Related,grid.416139.8
grid.1013.3,Related,grid.412703.3
grid.1013.3,Related,grid.413249.9
grid.1013.3,Related,grid.416787.b
grid.1013.3,Related,grid.462883.3
grid.1013.3,Related,grid.460659.8
grid.1013.3,Related,grid.416790.d
grid.1013.3,Related,grid.413252.3
grid.1013.3,Related,grid.452919.2
grid.1013.3,Child,grid.417229.b
grid.1014.4,Related,grid.473574.6
grid.1014.4,Related,grid.414925.f
grid.1014.4,Related,grid.240634.7
grid.1014.4,Related,grid.1694.a
grid.1016.6,Parent,grid.450426.1
grid.1016.6,Child,grid.493032.f
grid.1016.6,Child,grid.417660.2
grid.1016.6,Child,grid.496740.8
grid.1016.6,Child,grid.421683.a
grid.1016.6,Child,grid.413322.5
grid.1016.6,Child,grid.483321.f
grid.1016.6,Child,grid.467740.6
grid.1016.6,Child,grid.492989.7
grid.1016.6,Child,grid.483274.e
grid.1016.6,Child,grid.492990.f
grid.1016.6,Child,grid.473890.1
grid.1016.6,Child,grid.467784.e
grid.1016.6,Child,grid.473897.6
grid.1016.6,Child,grid.497266.8
grid.1016.6,Child,grid.496760.a
grid.1016.6,Child,grid.417653.2
grid.1016.6,Child,grid.413347.6
grid.1016.6,Child,grid.417671.2
grid.1016.6,Child,grid.469914.7
grid.1016.6,Child,grid.494571.a
grid.1016.6,Child,grid.473585.8
grid.1016.6,Child,grid.417654.5
grid.1016.6,Child,grid.494572.9
grid.1016.6,Child,grid.496759.0
grid.1016.6,Child,grid.417667.5
grid.1016.6,Child,grid.428408.2
grid.1017.7,Related,grid.414094.c
grid.1017.7,Child,grid.493437.e
grid.1017.7,Child,grid.462760.1
grid.1018.8,Related,grid.414094.c
grid.1018.8,Related,grid.414580.c
grid.1018.8,Related,grid.416259.d
grid.1020.3,Related,grid.413206.2
grid.1021.2,Related,grid.414580.c
grid.1021.2,Related,grid.415335.5
grid.1022.1,Related,grid.413154.6
grid.1022.1,Related,grid.460802.8
grid.1026.5,Related,grid.410664.1
grid.1026.5,Related,grid.460761.2
grid.1026.5,Related,grid.1694.a
grid.1026.5,Child,grid.470344.0
grid.1029.a,Related,grid.414201.2
grid.1029.a,Related,grid.460687.b
grid.1029.a,Related,grid.460708.d
grid.1029.a,Related,grid.415994.4
grid.1029.a,Related,grid.462883.3
grid.1033.1,Related,grid.413154.6
grid.1033.1,Related,grid.460802.8
grid.1037.5,Related,grid.460669.b
grid.1038.a,Related,grid.462883.3
grid.1039.b,Related,grid.460694.9
grid.1039.b,Related,grid.413314.0
grid.1043.6,Related,grid.473574.6
grid.1043.6,Related,grid.240634.7
grid.1046.3,Parent,grid.450426.1
grid.1047.2,Parent,grid.495796.0
grid.1056.2,Related,grid.1002.3
grid.1056.2,Related,grid.1008.9
grid.1057.3,Related,grid.1005.4
grid.1073.5,Related,grid.413105.2
grid.1073.5,Related,grid.1008.9
grid.1089.0,Parent,grid.450426.1
grid.1108.8,Parent,grid.420434.5
grid.1121.3,Related,grid.292517.a
grid.1121.3,Related,grid.17568.3d
grid.1121.3,Related,grid.426088.0
grid.1121.3,Child,grid.292517.a
grid.1121.3,Child,grid.17568.3d
grid.1121.3,Child,grid.457618.9
grid.1121.3,Child,grid.426088.0
grid.1135.6,Child,grid.488259.a
grid.1135.6,Child,grid.476246.5
grid.1135.6,Child,grid.488260.0
grid.1135.6,Child,grid.428413.8
grid.1214.6,Related,grid.423314.3
grid.1214.6,Child,grid.467668.d
grid.1214.6,Child,grid.467671.5
grid.1214.6,Child,grid.467673.7
grid.1214.6,Child,grid.421005.2
grid.1214.6,Child,grid.467678.c
grid.1214.6,Child,grid.479706.b
grid.1214.6,Child,grid.455754.2
grid.1214.6,Child,grid.467681.a
grid.1214.6,Child,grid.467688.3
grid.1214.6,Child,grid.447116.1
grid.1214.6,Child,grid.467692.8
grid.1214.6,Child,grid.446819.6
grid.1214.6,Child,grid.447221.6
grid.1214.6,Child,grid.453560.1
grid.1214.6,Child,grid.447104.2
grid.1214.6,Child,grid.467696.c
grid.1214.6,Child,grid.467698.2
grid.1214.6,Child,grid.467700.2
grid.1214.6,Child,grid.467666.3
grid.1214.6,Child,grid.467706.4
grid.1214.6,Child,grid.248465.9
grid.1214.6,Child,grid.467710.3
grid.1214.6,Child,grid.419531.b
grid.1214.6,Child,grid.419533.9
grid.1214.6,Child,grid.467704.6
grid.1214.6,Child,grid.467709.b
grid.1214.6,Child,grid.432623.2
grid.1214.6,Child,grid.452909.3
grid.1214.6,Child,grid.467714.7
grid.1214.6,Child,grid.438006.9
grid.1214.6,Child,grid.430355.4
grid.1214.6,Child,grid.447641.4
grid.1214.6,Child,grid.447627.4
grid.1214.6,Child,grid.462479.a
grid.1236.6,Child,grid.450508.c
grid.1236.6,Child,grid.435539.d
grid.1236.6,Child,grid.426623.7
