grid_id,external_id_type,external_id
grid.1029.a,Wikidata,Q1141452
grid.1031.3,ISNI,0000000121532610
grid.1031.3,FundRef,501100001770
grid.1031.3,OrgRef,458618
grid.1031.3,Wikidata,Q1278780
grid.1032.0,ISNI,0000 0004 0375 4078
grid.1032.0,FundRef,501100001797
grid.1032.0,OrgRef,370725
grid.1032.0,Wikidata,Q1145497
grid.1033.1,ISNI,0000 0004 0405 3820
grid.1033.1,FundRef,501100001789
grid.1033.1,OrgRef,1606779
grid.1033.1,Wikidata,Q892188
grid.1034.6,ISNI,0000 0001 1555 3415
grid.1034.6,FundRef,501100001796
grid.1034.6,OrgRef,1389122
grid.1034.6,Wikidata,Q1423677
grid.1035.7,ISNI,0000000099214842
grid.1035.7,FundRef,501100004421
grid.1035.7,OrgRef,728081
grid.1035.7,Wikidata,Q1718656
grid.1037.5,ISNI,0000 0004 0368 0777
grid.1037.5,FundRef,501100001769
grid.1037.5,OrgRef,543841
grid.1037.5,Wikidata,Q1066188
grid.1038.a,ISNI,0000 0004 0389 4302
grid.1038.a,FundRef,501100001798
grid.1038.a,OrgRef,706857
grid.1038.a,Wikidata,Q1284960
grid.1039.b,ISNI,0000 0004 0385 7472
grid.1039.b,FundRef,501100001802
grid.1039.b,OrgRef,426946
grid.1039.b,Wikidata,Q1640648
grid.1040.5,ISNI,0000 0001 1091 4859
grid.1040.5,FundRef,501100006643
grid.1040.5,FundRef,501100001783
grid.1040.5,OrgRef,41048790
grid.1040.5,Wikidata,Q1121200
grid.1043.6,ISNI,0000 0001 2157 559X
grid.1043.6,FundRef,501100001803
grid.1043.6,OrgRef,298970
grid.1043.6,Wikidata,Q1064071
grid.1046.3,ISNI,0000 0001 0328 1619
grid.1046.3,FundRef,100008344
grid.1047.2,ISNI,0000 0004 0416 0263
grid.1047.2,FundRef,501100005108
grid.1047.2,OrgRef,198126
grid.1047.2,Wikidata,Q781331
grid.1048.d,ISNI,0000 0004 0473 0844
grid.1048.d,FundRef,501100001795
grid.1048.d,OrgRef,523281
grid.1048.d,Wikidata,Q978124
grid.1049.c,ISNI,0000 0001 2294 1395
grid.1049.c,OrgRef,3231468
grid.1049.c,Wikidata,Q7270958
grid.1051.5,ISNI,0000 0000 9760 5620
grid.1051.5,FundRef,501100004430
grid.1051.5,Wikidata,Q4849161
grid.1052.6,ISNI,0000000097371625
grid.1052.6,FundRef,100009729
grid.1052.6,FundRef,100006352
grid.1055.1,ISNI,0000000403978434
grid.1055.1,FundRef,501100004224
grid.1055.1,Wikidata,Q7175569
grid.1056.2,ISNI,0000 0001 2224 8486
grid.1056.2,FundRef,100008561
grid.1056.2,Wikidata,Q3151717
grid.1057.3,ISNI,0000 0000 9472 3971
grid.1057.3,FundRef,100007221
grid.1058.c,ISNI,0000 0000 9442 535X
grid.1073.5,ISNI,0000 0004 0626 201X
grid.1073.5,Wikidata,Q7592065
grid.1076.0,ISNI,0000 0004 0626 1885
grid.1076.0,FundRef,501100001208
grid.1076.0,FundRef,100009021
grid.1089.0,ISNI,0000 0004 0432 8812
grid.1089.0,FundRef,100008206
grid.1089.0,FundRef,100009156
grid.1089.0,OrgRef,2460089
grid.1089.0,Wikidata,Q781606
grid.1108.8,ISNI,0000 0004 1937 1282
grid.1108.8,FundRef,100009910
grid.1108.8,OrgRef,827618
grid.1108.8,Wikidata,Q1515048
grid.1121.3,ISNI,0000000403961069
grid.1121.3,FundRef,501100000767
grid.1135.6,OrgRef,1091225
grid.1135.6,Wikidata,Q908265
grid.1214.6,ISNI,0000 0000 8716 3312
grid.1214.6,FundRef,100000014
grid.1214.6,OrgRef,65828
grid.1214.6,Wikidata,Q131626
grid.1236.6,ISNI,0000 0001 0790 9434
grid.1236.6,FundRef,501100000775
grid.1310.3,OrgRef,9477251
grid.1310.3,Wikidata,Q5260531
grid.1343.5,ISNI,0000 0004 0421 9667
grid.1343.5,OrgRef,200128
grid.1343.5,Wikidata,Q739416
grid.1374.1,ISNI,0000 0001 2097 1371
grid.1374.1,FundRef,501100008557
grid.1374.1,FundRef,501100005609
grid.1374.1,OrgRef,715162
grid.1374.1,OrgRef,1733089
grid.1374.1,Wikidata,Q501841
grid.1403.6,ISNI,0000 0004 0462 5657
grid.1441.0,ISNI,0000 0001 2309 7456
grid.1441.0,Wikidata,Q509404
grid.1453.3,ISNI,0000 0001 1091 7144
grid.1453.3,FundRef,501100000577
grid.1453.3,FundRef,501100000842
grid.1463.0,ISNI,0000 0001 0692 6582
grid.1463.0,FundRef,501100002956
grid.1463.0,OrgRef,1210961
grid.1463.0,Wikidata,Q1182587
grid.1463.0,Wikidata,Q5206019
grid.1489.4,ISNI,0000 0000 8737 8161
grid.1491.d,ISNI,0000 0004 0642 1746
grid.1527.1,ISNI,000000011086859X
grid.1527.1,OrgRef,1804661
grid.1527.1,Wikidata,Q923429
grid.1543.3,ISNI,0000 0004 0522 6113
grid.1623.6,ISNI,0000 0004 0432 511X
grid.1623.6,OrgRef,3053895
grid.1623.6,Wikidata,Q7713086
grid.1649.a,ISNI,000000009445082X
grid.1649.a,FundRef,501100005754
grid.1649.a,OrgRef,113265
grid.1649.a,Wikidata,Q3290496
grid.1658.a,ISNI,0000 0004 0509 9775
grid.1658.a,FundRef,100006677
grid.1680.f,ISNI,0000 0004 0559 5189
grid.1680.f,FundRef,100010000
grid.1680.f,FundRef,501100001243
grid.1680.f,OrgRef,3499106
grid.1680.f,Wikidata,Q5260456
grid.1694.a,OrgRef,1367457
grid.1694.a,Wikidata,Q8031120
grid.1743.1,ISNI,0000 0004 1783 8686
grid.1957.a,ISNI,0000 0001 0728 696X
grid.1957.a,FundRef,501100007210
grid.1957.a,OrgRef,243937
grid.1957.a,Wikidata,Q273263
grid.2134.4,ISNI,0000000087815157
grid.2294.d,ISNI,0000 0004 0394 7857
grid.2294.d,OrgRef,709802
grid.2294.d,Wikidata,Q6705538
grid.2515.3,ISNI,0000 0004 0378 8438
grid.2515.3,FundRef,100006823
grid.2515.3,OrgRef,1493152
grid.2515.3,Wikidata,Q1000479
grid.2678.b,ISNI,0000 0001 2338 6557
grid.2678.b,Wikidata,Q5381011
grid.2824.c,ISNI,0000 0004 0589 6117
grid.2865.9,ISNI,0000000121546924
grid.2865.9,FundRef,100000203
grid.2865.9,OrgRef,23814944
grid.2865.9,Wikidata,Q193755
grid.2875.8,ISNI,0000 0004 0380 0361
grid.3006.5,ISNI,0000 0004 0438 2042
grid.3006.5,FundRef,100010635
grid.3263.4,ISNI,0000 0001 1482 3639
grid.3263.4,FundRef,501100000951
grid.3319.8,ISNI,0000 0001 1551 0781
grid.3319.8,FundRef,100004349
grid.3319.8,OrgRef,171595
grid.3319.8,Wikidata,Q9401
grid.3393.a,ISNI,0000 0004 0581 1494
grid.3521.5,ISNI,0000 0004 0437 5942
grid.3521.5,OrgRef,2147616
grid.3521.5,Wikidata,Q7526207
grid.3532.7,ISNI,0000 0001 1266 2261
grid.3532.7,FundRef,100000192
grid.3532.7,OrgRef,37876
grid.3532.7,Wikidata,Q214700
grid.3575.4,ISNI,0000000121633745
grid.3575.4,FundRef,100004423
grid.3575.4,OrgRef,33583
grid.3575.4,Wikidata,Q7817
grid.3613.7,ISNI,0000 0000 9474 6233
grid.3613.7,FundRef,100006719
grid.4241.3,ISNI,0000 0001 2185 9808
grid.4241.3,OrgRef,1064216
grid.4241.3,Wikidata,Q1640726
grid.4269.9,ISNI,0000 0004 0627 8353
grid.4278.9,ISNI,0000 0001 0728 2096
grid.4280.e,ISNI,0000 0001 2180 6431
grid.4280.e,FundRef,501100001352
grid.4280.e,FundRef,501100007672
grid.4280.e,FundRef,501100001351
grid.4280.e,FundRef,501100001361
grid.4280.e,OrgRef,286880
grid.4280.e,OrgRef,14416866
grid.4280.e,Wikidata,Q738236
grid.4293.c,ISNI,0000 0004 1792 8585
grid.4293.c,FundRef,501100005184
grid.4293.c,OrgRef,12695579
grid.4293.c,Wikidata,Q542656
grid.4299.6,ISNI,0000 0001 2169 3852
grid.4299.6,FundRef,501100001822
grid.4299.6,OrgRef,13159501
grid.4299.6,Wikidata,Q299015
grid.4299.6,Wikidata,Q39900929
grid.4299.6,Wikidata,Q1563524
grid.4305.2,ISNI,0000 0004 1936 7988
grid.4305.2,FundRef,501100000848
grid.4305.2,FundRef,501100005698
grid.4305.2,FundRef,501100002754
grid.4305.2,FundRef,501100000635
grid.4305.2,HESA,0167
grid.4305.2,HESA,0096
grid.4305.2,UCAS,E56
grid.4305.2,UKPRN,10007790
grid.4305.2,OrgRef,23592200
grid.4305.2,OrgRef,1228887
grid.4305.2,OrgRef,6495461
grid.4305.2,OrgRef,1665922
grid.4305.2,OrgRef,47000436
grid.4305.2,Wikidata,Q160302
grid.4307.0,ISNI,0000 0004 0475 642X
grid.4307.0,OrgRef,449760
grid.4307.0,Wikidata,Q461340
grid.4319.f,ISNI,0000 0004 0448 3150
grid.4319.f,OrgRef,47000325
grid.4319.f,Wikidata,Q3041255
grid.4319.f,Wikidata,Q38910776
grid.4332.6,ISNI,0000 0000 9799 7097
grid.4332.6,FundRef,501100006427
grid.4332.6,Wikidata,Q783627
grid.4336.2,ISNI,0000 0001 2237 3826
grid.4347.4,ISNI,0000000119394239
