"NHS Hospital & Community Health Service (HCHS) workforce statistics: All staff by nationality and HEE region in NHS Trusts and CCGs in England, 31 March 2016 to 31 March 2017, headcount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,


,,March 2016,,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,
,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber,,England,Health Education East Midlands,Health Education East of England,"Health Education Kent, Surrey and Sussex",Health Education North Central and East London,Health Education North East,Health Education North West,Health Education North West London,Health Education South London,Health Education South West,Health Education Thames Valley,Health Education Wessex,Health Education West Midlands,Health Education Yorkshire and the Humber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All nationalities,,"1,164,471","89,750","104,175","87,282","71,808","72,684","184,616","53,201","60,981","93,408","38,631","55,991","128,660","124,200",,"1,187,125","93,070","107,273","88,054","73,945","72,763","188,424","54,023","62,471","96,111","39,035","56,101","129,988","126,727"
,Icelandic,28,3,2,5,4,1,4,1,2,-,-,-,2,4,,31,2,3,3,7,1,5,1,2,1,-,1,2,3
,Norwegian,197,12,23,21,36,3,20,16,19,10,6,8,11,12,,225,17,28,22,37,5,21,14,22,17,8,8,15,12
,Swiss,146,7,7,13,17,8,11,8,39,7,9,5,10,5,,162,7,7,13,24,8,11,11,40,9,10,7,11,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rest of World,,"71,636","4,045","8,069","6,538","8,861","1,979","7,231","6,763","7,983","3,415","2,478","3,083","6,556","4,689",,"75,032","4,487","8,873","6,775","9,262","2,108","7,485","6,936","8,292","3,529","2,545","3,097","6,845","4,844"
,Afghan,126,10,14,8,14,5,20,10,10,5,3,6,14,7,,129,10,15,13,12,4,20,11,9,6,4,6,14,5
,Albanian,90,3,10,2,17,1,7,13,5,4,6,1,11,10,,95,3,11,2,17,1,7,11,7,2,10,2,13,9
,Algerian,69,5,4,9,18,-,3,8,10,1,5,2,2,2,,75,4,9,11,18,-,4,9,7,1,5,2,2,3
,American,"1,073",66,141,98,124,38,99,85,115,84,48,54,68,53,,"1,169",75,161,98,132,42,112,101,127,88,49,62,65,57
,American Samoan,1,-,-,-,1,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Angolan,25,1,1,1,2,-,5,2,3,1,1,1,3,4,,26,2,1,1,3,-,7,1,3,1,-,1,1,5
,Antiguan,6,2,-,-,1,-,-,-,-,-,2,1,-,-,,12,3,-,-,2,-,-,-,1,-,2,1,3,-
,Argentine,27,4,2,2,3,1,5,1,2,1,2,4,-,-,,31,1,3,2,3,1,6,4,2,-,2,4,1,2
,Armenian,7,-,-,1,1,-,-,2,1,-,-,-,1,1,,6,-,-,1,1,-,1,1,1,-,-,-,1,-
,Aruban,2,-,-,-,-,-,-,-,1,-,-,-,1,-,,2,-,-,-,-,-,-,-,1,-,-,-,1,-
,Australian,"1,771",36,96,133,270,19,104,566,234,91,85,51,38,53,,"2,004",33,98,190,300,22,105,635,265,104,87,54,50,66
,Azerbaijani,8,-,-,-,4,-,2,1,1,-,-,-,-,-,,6,-,1,-,1,-,2,-,2,-,-,-,-,-
,Bahamian,7,-,1,2,-,-,2,-,-,1,-,-,1,-,,16,1,1,3,-,1,2,-,-,-,2,-,5,1
,Bahraini,18,2,2,-,1,1,3,2,2,1,-,1,1,2,,21,1,3,-,1,1,4,1,2,2,-,1,2,3
,Bangladeshi,502,23,39,28,138,10,60,45,46,17,9,7,44,36,,553,33,56,32,127,5,66,51,54,21,13,10,57,29
,Barbadian,105,6,11,5,23,2,7,9,19,2,4,3,6,8,,104,9,11,2,25,2,4,9,17,1,5,4,6,9
,Barbudan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,-,-,-,-,-,-,-
,Basotho,5,-,1,-,-,-,-,-,-,1,-,-,1,2,,3,-,-,-,-,-,1,-,-,1,-,-,-,1
,Belarusian,29,1,1,2,4,1,2,1,5,3,1,1,1,6,,30,3,2,3,2,-,4,3,5,1,1,3,1,2
,Belizean,5,-,-,1,-,-,1,-,2,-,-,-,-,1,,5,-,-,1,-,-,2,-,1,-,-,-,-,1
,Beninese,5,-,-,-,-,-,2,1,-,-,-,-,1,1,,5,-,-,-,-,-,2,1,-,-,-,-,1,1
,Bermudian,6,2,-,-,1,1,-,-,-,-,-,-,2,-,,5,1,2,-,-,-,-,-,-,-,-,-,2,-
,Bhutanese,4,-,-,1,-,-,-,-,1,-,-,1,-,1,,4,-,-,2,-,-,-,-,-,-,-,1,-,1
,Bolivian,15,-,-,5,1,-,-,3,3,1,1,-,1,-,,19,1,-,5,2,-,-,3,4,1,2,-,1,-
,Bosnian,21,3,1,2,3,-,-,2,2,1,1,1,1,4,,24,3,1,4,2,-,-,5,1,1,1,1,1,4
,Brazilian,323,12,32,36,55,2,20,35,33,17,18,37,17,10,,350,16,44,34,62,2,18,36,35,18,19,41,15,11
,British Virgin Islander,18,2,-,1,3,1,-,-,4,2,-,-,2,3,,25,4,1,-,4,1,2,-,4,1,-,1,2,5
,Bruneian,44,10,5,3,3,4,9,2,1,-,-,1,4,2,,52,11,5,4,-,5,9,2,3,-,1,3,7,2
,Burkinabe,7,-,1,-,5,-,-,-,-,-,-,-,1,-,,6,-,-,-,4,-,-,1,-,-,-,-,1,-
,Burmese,242,21,32,11,13,18,28,9,21,11,5,11,28,35,,270,19,42,21,17,22,30,11,11,13,5,13,28,38
,Burundi,27,-,3,1,6,-,1,2,4,2,1,1,1,5,,28,2,2,1,5,-,1,2,7,2,2,1,-,3
,Cambodian,2,-,1,-,-,-,-,-,-,-,-,-,1,-,,2,-,1,-,-,-,-,-,-,-,-,-,1,-
,Cameroonian,243,16,14,9,29,1,34,21,32,14,8,12,39,14,,246,13,15,11,33,2,31,18,32,14,8,17,37,15
,Canadian,767,55,70,65,91,24,89,63,73,45,32,42,59,59,,826,66,81,71,99,26,87,73,64,44,36,38,74,68
,Cape Verdean,3,-,-,-,1,-,-,2,-,-,-,-,-,-,,3,-,-,-,1,-,-,2,-,-,-,-,-,-
,Caymanian,47,-,-,-,-,-,-,-,47,-,-,-,-,-,,39,-,-,-,-,-,-,-,39,-,-,-,-,-
,Central African,101,3,5,4,5,-,10,7,15,7,26,1,10,8,,88,2,3,4,5,-,10,8,12,4,22,-,12,6
,Chadian,1,-,-,-,-,-,1,-,-,-,-,-,-,-,,3,1,1,-,-,-,1,-,-,-,-,-,-,-
,Channel Islander,15,2,-,-,-,2,4,-,-,2,3,1,1,-,,12,2,-,-,-,2,3,-,-,2,2,1,-,-
,Chilean,33,1,-,2,6,-,1,4,7,2,3,1,2,5,,35,1,-,3,5,-,1,4,7,2,5,2,2,4
,Chinese,756,24,79,82,81,16,74,58,75,68,31,69,62,37,,766,30,84,83,65,19,76,61,71,70,25,69,64,49
,Colombian,116,-,10,16,20,-,8,17,20,6,3,6,7,3,,113,-,11,16,19,-,8,18,21,5,4,4,6,2
,Congolese,137,4,11,7,24,2,15,12,18,4,2,4,13,21,,149,6,12,7,21,3,22,12,13,4,5,3,16,26
,Costa Rican,2,-,-,-,-,-,-,-,-,-,-,1,1,-,,4,1,-,-,-,-,-,-,-,-,-,1,1,1
