Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
ST2 8HY,Yes,53.033477,-2.136701,390930,348475,SJ909484,1/1/1980 12:00:00 AM,,141,33,14,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8HZ,Yes,53.033155,-2.135194,391031,348439,SJ910484,1/1/1980 12:00:00 AM,,147,29,12,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JA,Yes,53.034673,-2.136571,390939,348608,SJ909486,1/1/1980 12:00:00 AM,,140,44,24,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JB,Yes,53.034654,-2.137391,390884,348606,SJ908486,1/1/1980 12:00:00 AM,,139,89,36,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JD,Yes,53.035359,-2.141315,390621,348685,SJ906486,1/1/1980 12:00:00 AM,,134,38,20,"Stoke-On-Trent",4.0,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JE,Yes,53.035053,-2.141896,390582,348651,SJ905486,1/1/1980 12:00:00 AM,,133,46,17,"Stoke-On-Trent",4.0,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JF,Yes,53.033222,-2.139787,390723,348447,SJ907484,1/1/1980 12:00:00 AM,,133,10,5,"Stoke-On-Trent",3.9,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JG,Yes,53.036503,-2.139679,390731,348812,SJ907488,1/1/1980 12:00:00 AM,,137,19,14,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JH,Yes,53.036204,-2.141214,390628,348779,SJ906487,1/1/1980 12:00:00 AM,,134,52,19,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JJ,Yes,53.036446,-2.142407,390548,348806,SJ905488,1/1/1980 12:00:00 AM,,132,44,21,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JL,Yes,53.036446,-2.141945,390579,348806,SJ905488,1/1/1980 12:00:00 AM,,133,25,15,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JN,Yes,53.036825,-2.141022,390641,348848,SJ906488,1/1/1980 12:00:00 AM,,135,79,31,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JP,Yes,53.035992,-2.138439,390814,348755,SJ908487,1/1/1980 12:00:00 AM,,138,30,16,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JQ,Yes,53.036286,-2.14026,390692,348788,SJ906487,1/1/1980 12:00:00 AM,,136,46,19,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JR,Yes,53.03583,-2.138096,390837,348737,SJ908487,1/1/1980 12:00:00 AM,,138,46,22,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JS,Yes,53.03636,-2.138888,390784,348796,SJ907487,1/1/1980 12:00:00 AM,,138,49,21,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JT,Yes,53.025527,-2.131637,391268,347590,SJ912475,1/1/1980 12:00:00 AM,,156,77,36,"Stoke-On-Trent",3.8,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JU,Yes,53.024639,-2.130084,391372,347491,SJ913474,1/1/1980 12:00:00 AM,,163,104,41,"Stoke-On-Trent",3.9,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JW,Yes,53.035658,-2.139288,390757,348718,SJ907487,1/1/1980 12:00:00 AM,,136,24,11,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JX,Yes,53.026191,-2.133309,391156,347664,SJ911476,1/1/1980 12:00:00 AM,,150,41,20,"Stoke-On-Trent",3.8,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JY,Yes,53.026181,-2.133831,391121,347663,SJ911476,1/1/1980 12:00:00 AM,,149,30,16,"Stoke-On-Trent",3.7,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8JZ,Yes,53.026093,-2.132056,391240,347653,SJ912476,1/1/1980 12:00:00 AM,,156,70,33,"Stoke-On-Trent",3.8,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LA,Yes,53.026498,-2.132102,391237,347698,SJ912476,1/1/1980 12:00:00 AM,,156,57,26,"Stoke-On-Trent",3.9,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LB,Yes,53.026929,-2.132446,391214,347746,SJ912477,1/1/1980 12:00:00 AM,,154,28,17,"Stoke-On-Trent",3.9,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LD,No,53.028409,-2.134598,391070,347911,SJ910479,1/1/1980 12:00:00 AM,9/1/2014 12:00:00 AM,156,,,"Stoke-On-Trent",3.8,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LE,Yes,53.030254,-2.133053,391174,348116,SJ911481,1/1/1980 12:00:00 AM,,163,10,4,"Stoke-On-Trent",4.0,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LF,Yes,53.031583,-2.133862,391120,348264,SJ911482,1/1/1980 12:00:00 AM,,157,74,32,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LG,Yes,53.031791,-2.133162,391167,348287,SJ911482,1/1/1980 12:00:00 AM,,160,38,15,"Stoke-On-Trent",4.1,"Stoke-on-Trent","Stoke-on-Trent"
ST2 8LH,Yes,53.03285,-2.134433,391082,348405,SJ910484,1/1/1980 12:00:00 AM,,150,6,3,"Stoke-On-Trent",4.2,"Stoke-on-Trent","Stoke-on-Trent"
