Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN10 4HE,Yes,53.447708,-0.807574,479292,395211,SK792952,1/1/1980 12:00:00 AM,,7,36,16,"Gainsborough Central",5.9,"West Stockwith",""
DN10 4HF,Yes,53.438734,-0.845687,476777,394171,SK767941,2/1/1990 12:00:00 AM,,18,106,41,"Gainsborough Central",6.7,"Misterton",""
DN10 4HG,Yes,53.43808,-0.845961,476760,394098,SK767940,2/1/1990 12:00:00 AM,,19,31,12,"Gainsborough Central",6.6,"Misterton",""
DN10 4HH,Yes,53.441539,-0.845716,476770,394483,SK767944,2/1/1990 12:00:00 AM,,14,9,3,"Gainsborough Central",6.9,"Misterton",""
DN10 4HJ,Yes,53.436932,-0.841581,477053,393975,SK770939,12/1/1994 12:00:00 AM,,15,14,5,"Gainsborough Central",6.3,"Misterton",""
DN10 4HL,Yes,53.437383,-0.841764,477040,394025,SK770940,5/1/2011 12:00:00 AM,,14,,,"Gainsborough Central",6.4,"Misterton",""
DN10 4HN,No,53.44173,-0.849776,476500,394500,SK765944,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,10,,,"Gainsborough Central",7.1,"Misterton",""
DN10 4HP,Yes,53.422331,-0.842219,477037,392350,SK770923,12/1/1994 12:00:00 AM,,15,43,17,"Gainsborough Central",5.4,"Walkeringham",""
DN10 4HQ,Yes,53.42281,-0.842462,477020,392403,SK770924,10/1/2009 12:00:00 AM,,14,8,4,"Gainsborough Central",5.5,"Walkeringham",""
DN10 4HR,Yes,53.423067,-0.843041,476981,392431,SK769924,1/1/1980 12:00:00 AM,,12,28,10,"Gainsborough Central",5.5,"Walkeringham",""
DN10 4HS,Yes,53.421975,-0.842559,477015,392310,SK770923,1/1/1980 12:00:00 AM,,14,5,4,"Gainsborough Central",5.4,"Walkeringham",""
DN10 4HT,Yes,53.421463,-0.842649,477010,392253,SK770922,1/1/1980 12:00:00 AM,,14,32,14,"Gainsborough Central",5.4,"Walkeringham",""
DN10 4HU,Yes,53.421901,-0.841403,477092,392303,SK770923,1/1/1980 12:00:00 AM,,16,3,3,"Gainsborough Central",5.4,"Walkeringham",""
DN10 4HX,Yes,53.423226,-0.847386,476692,392444,SK766924,1/1/1980 12:00:00 AM,,13,15,6,"Gainsborough Central",5.8,"Walkeringham",""
DN10 4HY,Yes,53.415633,-0.848256,476648,391598,SK766915,1/1/1980 12:00:00 AM,,27,8,5,"Gainsborough Central",5.5,"",""
DN10 4HZ,Yes,53.419544,-0.840308,477169,392042,SK771920,1/1/1980 12:00:00 AM,,13,14,5,"Gainsborough Central",5.2,"Walkeringham",""
DN10 4JA,Yes,53.399803,-0.824586,478250,389863,SK782898,1/1/1980 12:00:00 AM,,14,6,2,"Gainsborough Central",3.6,"Beckingham",""
