Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
WN8 9NP,Yes,53.544659,-2.770755,349024,405611,SD490056,1/1/1980 12:00:00 AM,,64,75,35,"Upholland",2.7,"Wigan","Skelmersdale"
WN8 9NQ,Yes,53.543748,-2.769818,349085,405509,SD490055,12/1/1997 12:00:00 AM,,68,100,37,"Upholland",2.5,"Wigan","Skelmersdale"
WN8 9NR,Yes,53.543896,-2.769157,349129,405525,SD491055,12/1/1997 12:00:00 AM,,69,17,6,"Upholland",2.5,"Wigan","Skelmersdale"
WN8 9NS,Yes,53.543811,-2.768431,349177,405515,SD491055,12/1/1997 12:00:00 AM,,69,36,11,"Upholland",2.5,"Wigan","Skelmersdale"
WN8 9NT,Yes,53.542884,-2.770104,349065,405414,SD490054,12/1/1997 12:00:00 AM,,69,80,22,"Upholland",2.5,"Wigan","Skelmersdale"
WN8 9NU,Yes,53.538904,-2.771088,348995,404971,SD489049,8/1/2005 12:00:00 AM,,63,24,13,"Upholland",2.3,"Wigan","Skelmersdale"
WN8 9PA,Yes,53.526252,-2.764598,349410,403559,SD494035,1/1/1980 12:00:00 AM,,66,5,2,"Upholland",1.6,"",""
WN8 9PB,No,53.532445,-2.755099,350047,404242,SD500042,1/1/1980 12:00:00 AM,7/1/2006 12:00:00 AM,80,,,"Upholland",1.0,"Wigan","Skelmersdale"
WN8 9PD,Yes,53.529877,-2.761677,349608,403960,SD496039,7/1/1995 12:00:00 AM,,69,,,"Upholland",1.3,"Wigan","Skelmersdale"
WN8 9PE,Yes,53.527341,-2.76056,349679,403678,SD496036,1/1/1980 12:00:00 AM,,69,,,"Upholland",1.3,"Wigan","Skelmersdale"
WN8 9PF,Yes,53.533935,-2.763862,349468,404413,SD494044,1/1/1980 12:00:00 AM,,69,,,"Upholland",1.6,"Wigan","Skelmersdale"
