Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
DN9 3AW,Yes,53.496322,-0.984906,467438,400437,SE674004,1/1/1980 12:00:00 AM,,8,37,17,"Kirk Sandall",9.5,"Blaxton",""
DN9 3AX,Yes,53.500086,-0.98465,467449,400856,SE674008,1/1/1980 12:00:00 AM,,6,21,9,"Kirk Sandall",9.2,"Blaxton",""
DN9 3AY,Yes,53.513815,-0.980778,467684,402387,SE676023,1/1/1980 12:00:00 AM,,5,,,"Kirk Sandall",8.3,"",""
DN9 3AZ,Yes,53.496233,-0.993575,466863,400419,SE668004,1/1/1980 12:00:00 AM,,6,63,26,"Kirk Sandall",9.2,"Blaxton",""
DN9 3BA,Yes,53.495692,-0.992232,466953,400360,SE669003,1/1/1980 12:00:00 AM,,7,24,10,"Kirk Sandall",9.3,"Blaxton",""
DN9 3BB,Yes,53.496799,-0.997738,466586,400478,SE665004,1/1/1980 12:00:00 AM,,7,15,8,"Kirk Sandall",9.0,"Blaxton",""
DN9 3BD,Yes,53.496947,-0.986504,467331,400505,SE673005,3/1/1988 12:00:00 AM,,7,121,49,"Kirk Sandall",9.4,"Blaxton",""
DN9 3BE,No,53.50846,-0.971618,468300,401800,SE682017,10/1/1985 12:00:00 AM,6/1/1997 12:00:00 AM,6,,,"Kirk Sandall",9.1,"",""
DN9 3BF,Yes,53.500156,-0.984422,467464,400864,SE674008,7/1/2003 12:00:00 AM,,6,11,3,"Kirk Sandall",9.2,"Blaxton",""
DN9 3BG,Yes,53.497838,-0.984583,467457,400606,SE674006,3/1/1988 12:00:00 AM,,7,120,58,"Kirk Sandall",9.4,"Blaxton",""
DN9 3BH,Yes,53.49839,-0.983967,467497,400668,SE674006,3/1/1988 12:00:00 AM,,7,37,17,"Kirk Sandall",9.4,"Blaxton",""
DN9 3BJ,Yes,53.498785,-0.984982,467429,400711,SE674007,3/1/1988 12:00:00 AM,,7,42,19,"Kirk Sandall",9.3,"Blaxton",""
DN9 3BL,Yes,53.486616,-0.991557,467012,399351,SK670993,1/1/1980 12:00:00 AM,,8,1,1,"Kirk Sandall",10.2,"Finningley",""
DN9 3BN,Yes,53.486403,-0.990824,467061,399328,SK670993,1/1/1980 12:00:00 AM,,9,22,14,"Kirk Sandall",10.2,"Finningley",""
DN9 3BP,Yes,53.484843,-0.988028,467249,399157,SK672991,1/1/1980 12:00:00 AM,,9,20,9,"Kirk Sandall",10.5,"Finningley",""
DN9 3BQ,Yes,53.498731,-0.982768,467576,400707,SE675007,1/1/1991 12:00:00 AM,,7,20,9,"Kirk Sandall",9.4,"Blaxton",""
DN9 3BS,No,53.484774,-0.988421,467223,399149,SK672991,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,9,,,"Kirk Sandall",10.5,"Finningley",""
DN9 3BT,Yes,53.485288,-0.98963,467142,399205,SK671992,1/1/1980 12:00:00 AM,,9,5,3,"Kirk Sandall",10.4,"Finningley",""
DN9 3BU,Yes,53.483904,-0.990748,467070,399050,SK670990,9/1/1991 12:00:00 AM,,9,35,12,"Kirk Sandall",10.5,"Finningley",""
DN9 3BW,Yes,53.485485,-0.987485,467284,399229,SK672992,1/1/1980 12:00:00 AM,,9,15,7,"Kirk Sandall",10.4,"Finningley",""
DN9 3BX,Yes,53.482474,-0.990676,467077,398891,SK670988,1/1/1980 12:00:00 AM,,8,,,"Kirk Sandall",10.6,"Finningley",""
DN9 3BY,Yes,53.483431,-0.992191,466975,398996,SK669989,1/1/1980 12:00:00 AM,,9,28,10,"Kirk Sandall",10.4,"Finningley",""
DN9 3BZ,Yes,53.478327,-0.994587,466824,398426,SK668984,1/1/1980 12:00:00 AM,,7,,,"Doncaster",10.8,"Finningley",""
DN9 3DA,Yes,53.484679,-0.991787,467000,399135,SK669991,1/1/1980 12:00:00 AM,,10,21,10,"Kirk Sandall",10.3,"Finningley",""
DN9 3DB,Yes,53.482679,-0.991575,467017,398913,SK670989,7/1/1990 12:00:00 AM,,9,6,4,"Kirk Sandall",10.5,"Finningley",""
DN9 3DD,Yes,53.481238,-0.992273,466973,398752,SK669987,10/1/1985 12:00:00 AM,,9,49,22,"Kirk Sandall",10.7,"Finningley",""
DN9 3DE,No,53.481188,-0.992711,466944,398746,SK669987,1/1/1980 12:00:00 AM,1/1/2009 12:00:00 AM,9,,,"Kirk Sandall",10.6,"Finningley",""
DN9 3DF,No,53.487186,-0.980361,467754,399425,SK677994,1/1/1980 12:00:00 AM,2/1/2010 12:00:00 AM,8,,,"Kirk Sandall",10.5,"Finningley",""
DN9 3DG,Yes,53.486731,-0.987064,467310,399368,SK673993,1/1/1980 12:00:00 AM,,9,37,17,"Kirk Sandall",10.3,"Finningley",""
