Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
NE31 2NH,Yes,54.96517,-1.522067,430698,563498,NZ306634,1/1/1980 12:00:00 AM,,46,58,22,"Heworth",2.6,"Tyneside","Hebburn"
NE31 2NJ,Yes,54.964036,-1.523986,430576,563371,NZ305633,1/1/1980 12:00:00 AM,,47,6,2,"Heworth",2.5,"Tyneside","Hebburn"
NE31 2NQ,Yes,54.964819,-1.522055,430699,563459,NZ306634,1/1/1980 12:00:00 AM,,45,40,16,"Heworth",2.6,"Tyneside","Hebburn"
NE31 2NX,Yes,54.967711,-1.516945,431024,563783,NZ310637,1/1/1980 12:00:00 AM,,40,63,29,"Heworth",3.1,"Tyneside","Hebburn"
NE31 2PA,Yes,54.967197,-1.51656,431049,563726,NZ310637,1/1/1980 12:00:00 AM,,39,17,11,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2PB,Yes,54.966976,-1.517375,430997,563701,NZ309637,1/1/1980 12:00:00 AM,,40,38,18,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2PD,Yes,54.965791,-1.517795,430971,563569,NZ309635,1/1/1980 12:00:00 AM,,40,14,8,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PE,Yes,54.964325,-1.517563,430987,563406,NZ309634,1/1/1980 12:00:00 AM,,40,99,55,"Heworth",2.8,"Tyneside","Hebburn"
NE31 2PF,Yes,54.963441,-1.518807,430908,563307,NZ309633,1/1/1980 12:00:00 AM,,41,11,4,"Heworth",2.7,"Tyneside","Hebburn"
NE31 2PG,Yes,54.962213,-1.519587,430859,563170,NZ308631,1/1/1980 12:00:00 AM,,40,,,"Heworth",2.6,"Tyneside","Hebburn"
NE31 2PH,Yes,54.965232,-1.51724,431007,563507,NZ310635,1/1/1980 12:00:00 AM,,40,11,4,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PJ,Yes,54.964877,-1.516198,431074,563468,NZ310634,1/1/1980 12:00:00 AM,,39,38,19,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PL,Yes,54.964033,-1.516348,431065,563374,NZ310633,1/1/1980 12:00:00 AM,,40,55,36,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PN,Yes,54.962797,-1.5173,431005,563236,NZ310632,1/1/1980 12:00:00 AM,,40,12,9,"Heworth",2.8,"Tyneside","Hebburn"
NE31 2PP,Yes,54.96338,-1.514888,431159,563302,NZ311633,1/1/1980 12:00:00 AM,,39,9,4,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PQ,Yes,54.963012,-1.51722,431010,563260,NZ310632,1/1/1980 12:00:00 AM,,40,20,11,"Heworth",2.8,"Tyneside","Hebburn"
NE31 2PR,Yes,54.964008,-1.514521,431182,563372,NZ311633,1/1/1980 12:00:00 AM,,38,55,30,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2PS,Yes,54.963797,-1.515711,431106,563348,NZ311633,1/1/1980 12:00:00 AM,,39,10,8,"Heworth",2.9,"Tyneside","Hebburn"
NE31 2PT,Yes,54.964541,-1.513,431279,563432,NZ312634,1/1/1980 12:00:00 AM,,37,59,28,"Heworth",3.1,"Tyneside","Hebburn"
NE31 2PU,Yes,54.963493,-1.51395,431219,563315,NZ312633,1/1/1980 12:00:00 AM,,39,56,21,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2PW,Yes,54.962522,-1.516023,431087,563206,NZ310632,1/1/1980 12:00:00 AM,,39,40,28,"Heworth",2.8,"Tyneside","Hebburn"
NE31 2PX,Yes,54.964012,-1.513303,431260,563373,NZ312633,1/1/1980 12:00:00 AM,,38,77,31,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2PY,Yes,54.965033,-1.512432,431315,563487,NZ313634,1/1/1980 12:00:00 AM,,36,33,16,"Heworth",3.1,"Tyneside","Hebburn"
NE31 2PZ,Yes,54.965897,-1.512812,431290,563583,NZ312635,1/1/1980 12:00:00 AM,,37,10,4,"Heworth",3.2,"Tyneside","Hebburn"
NE31 2QA,Yes,54.965202,-1.51193,431347,563506,NZ313635,1/1/1980 12:00:00 AM,,36,13,6,"Heworth",3.2,"Tyneside","Hebburn"
NE31 2QB,Yes,54.965692,-1.511018,431405,563561,NZ314635,1/1/1980 12:00:00 AM,,36,39,19,"Heworth",3.3,"Tyneside","Hebburn"
NE31 2QD,Yes,54.966512,-1.516069,431081,563650,NZ310636,1/1/1980 12:00:00 AM,,38,38,16,"Heworth",3.0,"Tyneside","Hebburn"
NE31 2QE,Yes,54.966503,-1.511477,431375,563651,NZ313636,1/1/1980 12:00:00 AM,,35,45,22,"Heworth",3.3,"Tyneside","Hebburn"
NE31 2QF,Yes,54.967012,-1.510658,431427,563708,NZ314637,1/1/1980 12:00:00 AM,,34,14,4,"Heworth",3.4,"Tyneside","Hebburn"
NE31 2QG,Yes,54.967401,-1.511325,431384,563751,NZ313637,1/1/1980 12:00:00 AM,,34,36,15,"Heworth",3.3,"Tyneside","Hebburn"
