Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
S26 2DS,Yes,53.368842,-1.311292,445923,385996,SK459859,6/1/1997 12:00:00 AM,,100,94,33,"Woodhouse",3.1,"Sheffield","Swallownest"
S26 2DT,Yes,53.357076,-1.309874,446030,384688,SK460846,6/1/1997 12:00:00 AM,,99,98,45,"Woodhouse",3.2,"Sheffield","Swallownest"
S26 2DU,Yes,53.36898,-1.313469,445778,386010,SK457860,6/1/1997 12:00:00 AM,,101,62,23,"Woodhouse",3.0,"Sheffield","Swallownest"
S26 2DW,Yes,53.368709,-1.313233,445794,385980,SK457859,6/1/1997 12:00:00 AM,,100,40,15,"Woodhouse",3.0,"Sheffield","Swallownest"
S26 2DX,Yes,53.364976,-1.305043,446343,385570,SK463855,6/1/1997 12:00:00 AM,,96,15,9,"Woodhouse",3.5,"Sheffield","Swallownest"
S26 2DY,Yes,53.365348,-1.300979,446613,385614,SK466856,6/1/1997 12:00:00 AM,,98,16,9,"Kiveton Bridge",3.5,"Sheffield","Swallownest"
S26 2DZ,Yes,53.356514,-1.309132,446080,384626,SK460846,6/1/1997 12:00:00 AM,,95,100,41,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2EA,Yes,53.363815,-1.303304,446460,385442,SK464854,6/1/1997 12:00:00 AM,,97,33,14,"Kiveton Bridge",3.5,"Sheffield","Swallownest"
S26 2EB,Yes,53.363063,-1.297696,446834,385362,SK468853,6/1/1997 12:00:00 AM,,103,111,49,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2ED,No,53.363199,-1.299332,446725,385376,SK467853,6/1/1997 12:00:00 AM,8/1/2012 12:00:00 AM,102,,,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2EE,Yes,53.362664,-1.298634,446772,385317,SK467853,6/1/1997 12:00:00 AM,,104,47,20,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
S26 2EF,Yes,53.366405,-1.297265,446859,385734,SK468857,6/1/1997 12:00:00 AM,,97,5,2,"Kiveton Bridge",3.5,"","Swallownest"
S26 2EG,Yes,53.363701,-1.299173,446735,385432,SK467854,1/1/2006 12:00:00 AM,,102,11,4,"Kiveton Bridge",3.3,"Sheffield","Swallownest"
S26 2EH,Yes,53.361201,-1.300416,446655,385153,SK466851,6/1/1997 12:00:00 AM,,95,46,24,"Kiveton Bridge",3.1,"Sheffield","Swallownest"
S26 2EJ,Yes,53.362277,-1.300068,446677,385273,SK466852,6/1/1997 12:00:00 AM,,100,158,63,"Kiveton Bridge",3.2,"Sheffield","Swallownest"
