Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
B13 8WP,No,52.449104,-1.9018,406771,283465,SP067834,3/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 8WQ,No,52.449104,-1.9018,406771,283465,SP067834,2/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 8WR,No,52.447453,-1.894742,407251,283282,SP072832,6/1/2003 12:00:00 AM,8/1/2004 12:00:00 AM,145,,,"Selly Oak",2.8,"West Midlands","Birmingham"
B13 8WU,No,52.449104,-1.9018,406771,283465,SP067834,4/1/2003 12:00:00 AM,6/1/2004 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 8WY,No,52.449104,-1.9018,406771,283465,SP067834,9/1/2002 12:00:00 AM,10/1/2003 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 8YR,No,52.449104,-1.9018,406771,283465,SP067834,11/1/2002 12:00:00 AM,2/1/2004 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 8ZQ,No,52.449104,-1.9018,406771,283465,SP067834,8/1/2002 12:00:00 AM,8/1/2004 12:00:00 AM,138,,,"University",2.4,"West Midlands","Birmingham"
B13 9AA,Yes,52.447128,-1.883928,407986,283247,SP079832,1/1/1980 12:00:00 AM,,155,51,24,"Small Heath",2.5,"West Midlands","Birmingham"
B13 9AB,Yes,52.448359,-1.88316,408038,283384,SP080833,1/1/1980 12:00:00 AM,,150,49,35,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9AD,Yes,52.448773,-1.883247,408032,283430,SP080834,1/1/1980 12:00:00 AM,,148,30,20,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9AE,Yes,52.449697,-1.881656,408140,283533,SP081835,1/1/1980 12:00:00 AM,,144,25,17,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9AF,Yes,52.449563,-1.882347,408093,283518,SP080835,1/1/1980 12:00:00 AM,,145,30,22,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9AG,Yes,52.450774,-1.880225,408237,283653,SP082836,1/1/1980 12:00:00 AM,,136,157,70,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AH,Yes,52.451243,-1.881225,408169,283705,SP081837,1/1/1980 12:00:00 AM,,136,90,19,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AJ,Yes,52.451656,-1.881062,408180,283751,SP081837,1/1/1980 12:00:00 AM,,135,118,41,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AL,Yes,52.453024,-1.882132,408107,283903,SP081839,1/1/1980 12:00:00 AM,,134,103,27,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9AN,Yes,52.453105,-1.882603,408075,283912,SP080839,1/1/1980 12:00:00 AM,,135,149,45,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AP,Yes,52.451298,-1.882196,408103,283711,SP081837,1/1/1980 12:00:00 AM,,138,121,22,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9AR,Yes,52.449024,-1.883173,408037,283458,SP080834,1/1/1980 12:00:00 AM,,147,31,15,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9AS,Yes,52.450238,-1.883067,408044,283593,SP080835,1/1/1980 12:00:00 AM,,143,121,36,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9AT,No,52.44248,-1.874746,408611,282731,SP086827,12/1/1995 12:00:00 AM,12/1/1999 12:00:00 AM,155,,,"Hall Green",2.1,"West Midlands","Birmingham"
B13 9AU,Yes,52.450104,-1.879089,408314,283578,SP083835,1/1/1980 12:00:00 AM,,138,124,35,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AW,Yes,52.451451,-1.882681,408070,283728,SP080837,1/1/1980 12:00:00 AM,,138,137,31,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9AX,Yes,52.449046,-1.878288,408369,283461,SP083834,1/1/1980 12:00:00 AM,,141,124,44,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9AY,Yes,52.449666,-1.877874,408397,283530,SP083835,1/1/1980 12:00:00 AM,,138,64,19,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9AZ,No,52.44248,-1.874746,408611,282731,SP086827,12/1/1999 12:00:00 AM,1/1/2001 12:00:00 AM,155,,,"Hall Green",2.1,"West Midlands","Birmingham"
B13 9BA,Yes,52.450503,-1.878387,408362,283623,SP083836,1/1/1980 12:00:00 AM,,136,86,35,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9BB,Yes,52.450862,-1.877974,408390,283663,SP083836,1/1/1980 12:00:00 AM,,134,68,25,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9BD,Yes,52.450259,-1.876916,408462,283596,SP084835,1/1/1980 12:00:00 AM,,135,53,35,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9BE,Yes,52.450007,-1.877299,408436,283568,SP084835,1/1/1980 12:00:00 AM,,136,42,18,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9BF,No,52.449395,-1.876359,408500,283500,SP085834,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,137,,,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9BG,Yes,52.450364,-1.875047,408589,283608,SP085836,1/1/1980 12:00:00 AM,,132,99,41,"Small Heath",1.8,"West Midlands","Birmingham"
B13 9BH,Yes,52.449455,-1.874123,408652,283507,SP086835,1/1/1980 12:00:00 AM,,134,146,32,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9BJ,Yes,52.449763,-1.875446,408562,283541,SP085835,1/1/1980 12:00:00 AM,,134,31,11,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9BL,Yes,52.448997,-1.874477,408628,283456,SP086834,1/1/1980 12:00:00 AM,,136,90,22,"Small Heath",1.9,"West Midlands","Birmingham"
B13 9BN,Yes,52.448593,-1.874537,408624,283411,SP086834,1/1/1980 12:00:00 AM,,137,108,43,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9BP,Yes,52.450296,-1.882207,408102,283599,SP081835,1/1/1980 12:00:00 AM,,142,101,29,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9BQ,Yes,52.450202,-1.874238,408644,283590,SP086835,1/1/1980 12:00:00 AM,,131,61,16,"Small Heath",1.8,"West Midlands","Birmingham"
B13 9BS,Yes,52.448715,-1.879481,408288,283424,SP082834,1/1/1980 12:00:00 AM,,144,153,43,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9BT,Yes,52.447256,-1.876983,408458,283262,SP084832,1/1/1980 12:00:00 AM,,144,80,26,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9BU,Yes,52.44739,-1.87585,408535,283277,SP085832,1/1/1980 12:00:00 AM,,142,81,54,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9BW,No,52.449398,-1.879302,408300,283500,SP083834,8/1/1992 12:00:00 AM,6/1/1996 12:00:00 AM,141,,,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9BX,Yes,52.447396,-1.87379,408675,283278,SP086832,1/1/1980 12:00:00 AM,,139,71,22,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9BY,Yes,52.447893,-1.875628,408550,283333,SP085833,1/1/1980 12:00:00 AM,,141,72,47,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9BZ,Yes,52.448249,-1.875503,408558,283372,SP085833,1/1/1980 12:00:00 AM,,140,63,21,"Small Heath",2.0,"West Midlands","Birmingham"
B13 9DA,Yes,52.446633,-1.874204,408647,283193,SP086831,1/1/1980 12:00:00 AM,,141,119,36,"Small Heath",2.2,"West Midlands","Birmingham"
B13 9DB,Yes,52.446523,-1.872674,408751,283181,SP087831,1/1/1980 12:00:00 AM,,140,33,7,"Small Heath",2.1,"West Midlands","Birmingham"
B13 9DE,Yes,52.445463,-1.872869,408738,283063,SP087830,1/1/1980 12:00:00 AM,,144,63,21,"Hall Green",2.1,"West Midlands","Birmingham"
B13 9DF,Yes,52.443982,-1.875418,408565,282898,SP085828,1/1/1980 12:00:00 AM,,153,37,10,"Hall Green",2.2,"West Midlands","Birmingham"
B13 9DG,No,52.44248,-1.87476,408610,282731,SP086827,12/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,155,,,"Hall Green",2.1,"West Midlands","Birmingham"
B13 9DH,Yes,52.446061,-1.878075,408384,283129,SP083831,1/1/1980 12:00:00 AM,,152,171,95,"Small Heath",2.3,"West Midlands","Birmingham"
B13 9DJ,No,52.446486,-1.879825,408265,283176,SP082831,12/1/2000 12:00:00 AM,2/1/2001 12:00:00 AM,155,,,"Small Heath",2.4,"West Midlands","Birmingham"
B13 9DL,Yes,52.44691,-1.881575,408146,283223,SP081832,1/1/1980 12:00:00 AM,,156,117,58,"Small Heath",2.4,"West Midlands","Birmingham"
B13 9DN,Yes,52.447682,-1.880543,408216,283309,SP082833,1/1/1980 12:00:00 AM,,151,111,44,"Small Heath",2.3,"West Midlands","Birmingham"
