Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
M10 0JF,No,53.525987,-2.172723,388647,403272,SD886032,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0JG,No,53.524286,-2.173802,388575,403083,SD885030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,"Moston",0.2,"Greater Manchester","Manchester"
M10 0JH,No,53.52522,-2.17456,388525,403187,SD885031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0JJ,No,53.525336,-2.174937,388500,403200,SD885031,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,109,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0JL,No,53.526252,-2.175318,388475,403302,SD884033,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0JN,No,53.526192,-2.173991,388563,403295,SD885032,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,109,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0JP,No,53.526703,-2.174355,388539,403352,SD885033,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,110,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0JQ,No,53.52469,-2.174497,388529,403128,SD885031,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,110,,,"Moston",0.3,"Greater Manchester","Manchester"
M10 0JR,No,53.523235,-2.1733,388608,402966,SD886029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,108,,,"Moston",0.2,"Greater Manchester","Manchester"
M10 0JS,No,53.522634,-2.172513,388660,402899,SD886028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,"Moston",0.1,"Greater Manchester","Manchester"
M10 0JT,No,53.523327,-2.171822,388706,402976,SD887029,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,"Moston",0.1,"Greater Manchester","Manchester"
M10 0JU,No,53.52213,-2.172873,388636,402843,SD886028,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,106,,,"Moston",0.2,"Greater Manchester","Manchester"
M10 0JW,No,53.526866,-2.173767,388578,403370,SD885033,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,110,,,"Moston",0.4,"Greater Manchester","Manchester"
M10 0JX,No,53.524028,-2.172187,388682,403054,SD886030,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,107,,,"Moston",0.1,"Greater Manchester","Manchester"
M10 7GG,No,53.492761,-2.228582,384932,399586,SJ849995,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,46,,,"Manchester Victoria",1.1,"Greater Manchester","Manchester"
M10 7GN,No,53.493791,-2.226055,385100,399700,SJ851996,9/1/1991 12:00:00 AM,5/1/1994 12:00:00 AM,54,,,"Manchester Victoria",1.3,"Greater Manchester","Manchester"
M10 7GP,No,53.494512,-2.225094,385164,399780,SJ851997,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,"Manchester Victoria",1.4,"Greater Manchester","Manchester"
M10 7GQ,No,53.492999,-2.226473,385072,399612,SJ850996,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,53,,,"Manchester Victoria",1.2,"Greater Manchester","Manchester"
M10 7GR,No,53.493782,-2.225889,385111,399699,SJ851996,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,55,,,"Manchester Victoria",1.3,"Greater Manchester","Manchester"
M10 7GS,No,53.492187,-2.228262,384953,399522,SJ849995,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,51,,,"Manchester Victoria",1.1,"Greater Manchester","Manchester"
M10 7QG,No,53.49335,-2.226264,385086,399651,SJ850996,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,53,,,"Manchester Victoria",1.3,"Greater Manchester","Manchester"
M10 7QP,No,53.494369,-2.224687,385191,399764,SJ851997,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,59,,,"Manchester Victoria",1.4,"Greater Manchester","Manchester"
M10 7QQ,No,53.491995,-2.229949,384841,399501,SJ848995,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,"Manchester Victoria",1.0,"Greater Manchester","Manchester"
M10 7QR,No,53.493739,-2.22509,385164,399694,SJ851996,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,58,,,"Manchester Victoria",1.4,"Greater Manchester","Manchester"
M10 7QS,No,53.492365,-2.229198,384891,399542,SJ848995,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,47,,,"Manchester Victoria",1.0,"Greater Manchester","Manchester"
M10 7QT,No,53.495591,-2.224558,385200,399900,SJ851998,1/1/1980 12:00:00 AM,12/1/1981 12:00:00 AM,52,,,"Manchester Victoria",1.5,"Greater Manchester","Manchester"
M10 7RB,No,53.495296,-2.223772,385252,399867,SJ852998,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,"Manchester Victoria",1.5,"Greater Manchester","Manchester"
M10 7RD,No,53.494819,-2.224538,385201,399814,SJ852998,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,"Manchester Victoria",1.4,"Greater Manchester","Manchester"
M10 7RE,No,53.495385,-2.224632,385195,399877,SJ851998,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,54,,,"Manchester Victoria",1.5,"Greater Manchester","Manchester"
M10 7RF,No,53.495585,-2.223337,385281,399899,SJ852998,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,57,,,"Manchester Victoria",1.6,"Greater Manchester","Manchester"
M10 7RG,No,53.497741,-2.223649,385261,400139,SD852001,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,52,,,"Manchester Victoria",1.7,"Greater Manchester","Manchester"
