Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division
E1 0BX,Yes,51.510868,-0.055828,535013,180896,TQ350808,1/1/1980 12:00:00 AM,,14,,,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0BY,Yes,51.510215,-0.054933,535077,180825,TQ350808,1/1/1980 12:00:00 AM,,11,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0BZ,Yes,51.510215,-0.054933,535077,180825,TQ350808,1/1/1980 12:00:00 AM,,11,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0DA,Yes,51.510199,-0.056565,534964,180820,TQ349808,1/1/1980 12:00:00 AM,,13,4,1,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DB,Yes,51.51241,-0.053384,535178,181072,TQ351810,12/1/1997 12:00:00 AM,,13,73,24,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0DD,Yes,51.510986,-0.055362,535045,180910,TQ350809,2/1/2006 12:00:00 AM,,14,34,3,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DE,Yes,51.51097,-0.057611,534889,180904,TQ348809,1/1/1980 12:00:00 AM,,15,29,23,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DF,Yes,51.510183,-0.057313,534912,180817,TQ349808,1/1/1980 12:00:00 AM,,14,242,56,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DG,Yes,51.510603,-0.060465,534692,180858,TQ346808,4/1/1985 12:00:00 AM,,17,12,8,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0DH,Yes,51.510681,-0.058084,534857,180871,TQ348808,12/1/1999 12:00:00 AM,,15,31,15,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DJ,No,51.512609,-0.050176,535400,181100,TQ354810,1/1/1991 12:00:00 AM,7/1/1995 12:00:00 AM,13,,,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0DL,No,51.513284,-0.049153,535469,181177,TQ354811,6/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,13,,,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0DN,Yes,51.510305,-0.055477,535039,180834,TQ350808,12/1/1999 12:00:00 AM,,12,218,56,"Shadwell",0.1,"Greater London","Tower Hamlets"
E1 0DP,Yes,51.513307,-0.04944,535449,181179,TQ354811,1/1/1980 12:00:00 AM,,13,13,4,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0DQ,Yes,51.51337,-0.048876,535488,181187,TQ354811,6/1/2009 12:00:00 AM,,13,10,6,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0DR,Yes,51.510583,-0.059143,534784,180858,TQ347808,12/1/1999 12:00:00 AM,,17,35,14,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0DS,Yes,51.512916,-0.052945,535207,181129,TQ352811,6/1/2000 12:00:00 AM,,13,29,7,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0DT,Yes,51.512803,-0.049375,535455,181123,TQ354811,1/1/1980 12:00:00 AM,,13,131,31,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0DU,Yes,51.512563,-0.049573,535442,181096,TQ354810,1/1/1980 12:00:00 AM,,13,150,51,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0DW,Yes,51.509938,-0.056576,534964,180791,TQ349807,12/1/1999 12:00:00 AM,,12,56,24,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0DX,No,51.51171,-0.050215,535400,181000,TQ353809,1/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,11,,,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0DY,Yes,51.510099,-0.053353,535187,180815,TQ351808,10/1/2009 12:00:00 AM,,12,95,38,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0DZ,Yes,51.511706,-0.050503,535380,180999,TQ353809,1/1/1980 12:00:00 AM,,12,48,23,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0EA,Yes,51.512508,-0.048956,535485,181091,TQ354810,1/1/1980 12:00:00 AM,,13,59,22,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0EB,Yes,51.511491,-0.050512,535380,180975,TQ353809,1/1/1980 12:00:00 AM,,12,,,"Shadwell",0.4,"Greater London","Tower Hamlets"
E1 0ED,Yes,51.510164,-0.052414,535252,180824,TQ352808,1/1/1980 12:00:00 AM,,13,51,21,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EE,Yes,51.510461,-0.052401,535252,180857,TQ352808,1/1/1980 12:00:00 AM,,12,80,33,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EF,Yes,51.511903,-0.048809,535497,181024,TQ354810,8/1/2005 12:00:00 AM,,13,72,39,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0EG,Yes,51.512364,-0.048962,535485,181075,TQ354810,8/1/2005 12:00:00 AM,,13,53,31,"Shadwell",0.6,"Greater London","Tower Hamlets"
E1 0EH,Yes,51.510555,-0.054314,535119,180864,TQ351808,1/1/1980 12:00:00 AM,,12,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0EJ,No,51.51009,-0.053368,535186,180814,TQ351808,1/1/1980 12:00:00 AM,5/1/2008 12:00:00 AM,12,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EL,Yes,51.511815,-0.049362,535459,181013,TQ354810,10/1/2006 12:00:00 AM,,12,69,39,"Shadwell",0.5,"Greater London","Tower Hamlets"
E1 0EQ,No,51.509961,-0.053172,535200,180800,TQ351807,8/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,12,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EU,Yes,51.510308,-0.061659,534610,180823,TQ346808,5/1/2011 12:00:00 AM,,15,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EW,Yes,51.510611,-0.059816,534737,180860,TQ347808,3/1/2011 12:00:00 AM,,17,,,"Shadwell",0.2,"Greater London","Tower Hamlets"
E1 0EX,Yes,51.510912,-0.06172,534604,180890,TQ346808,4/1/2012 12:00:00 AM,,16,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
E1 0EY,Yes,51.51095,-0.061301,534633,180895,TQ346808,3/1/2012 12:00:00 AM,,17,,,"Shadwell",0.3,"Greater London","Tower Hamlets"
